"seed","PLci","percolation"
1,0.00941730429664508,NA
2,0.0735726898175397,NA
3,0.0547380812242496,NA
4,0.0147145379635079,NA
5,0.349028840494408,NA
6,0.00353148911124191,702
7,0.00588581518540318,0
8,0.00412007062978222,0
9,0.00412007062978222,0
10,0.116539140670983,NA
11,0.385520894643908,0
12,0.397881106533255,NA
13,0.00529723366686286,32096
14,0.0117716303708064,0
15,0.0100058858151854,0
16,0.0100058858151854,0
17,0.515597410241318,NA
18,0.0100058858151854,0
19,0.0100058858151854,0
20,0.0100058858151854,0
21,0.515597410241318,NA
22,0.0100058858151854,0
23,0.000588581518540318,0
24,0.000588581518540318,0
25,0.00588581518540318,0
26,0.011183048852266,0
27,0.011183048852266,0
28,0.011183048852266,0
29,0.011183048852266,0
30,0.011183048852266,0
31,0.011183048852266,0
32,0.011183048852266,0
33,0.011183048852266,0
34,0.011183048852266,0
35,0.011183048852266,0
36,0.00176574455562095,0
37,0.00294290759270159,0
38,0.00294290759270159,0
39,0.00294290759270159,0
40,0.000588581518540318,0
41,0.000588581518540318,0
42,0.00353148911124191,0
43,0.0064743967039435,0
44,0.0064743967039435,0
45,0.0064743967039435,0
46,0.0064743967039435,0
47,0.0064743967039435,0
48,0.0064743967039435,0
49,0.0117716303708064,16290
50,0.18481459682166,NA
51,0.18481459682166,NA
52,0.18481459682166,NA
53,0.135373749264273,NA
54,0.0753384343731607,NA
55,0.406121247792819,NA
56,0.135373749264273,NA
57,0.150676868746321,NA
58,0.150676868746321,NA
59,0.18481459682166,NA
60,0.00882872277810477,40030
61,0.507357268981754,NA
62,0.507357268981754,NA
63,0.507357268981754,NA
64,0.507357268981754,NA
65,0.507357268981754,NA
66,0.507357268981754,NA
67,0.0182460270747499,NA
68,0.507357268981754,NA
69,0.507357268981754,NA
70,0.507945850500294,NA
71,0.507357268981754,NA
72,0.0982931135962331,NA
73,0.420835785756327,NA
74,0.341377280753384,NA
75,0.341377280753384,NA
76,0.133019423190112,NA
77,0.514420247204238,NA
78,0.0553266627427899,NA
79,0.745144202472042,NA
80,0.0553266627427899,NA
81,0.270158917010006,NA
82,0.270158917010006,NA
83,0.191288993525603,NA
84,0.420247204237787,NA
85,0.420835785756327,NA
86,0.423190111830489,NA
87,0.0417892878163626,NA
88,0.595055915244261,NA
89,0.595055915244261,NA
90,0.276044732195409,NA
91,0.191288993525603,NA
