network,betweeness,closeness,degree,plci,percolation,proximity,MEB,MEC,MED
arenas_email,"[0.9820749592612711, 0.9603476371537208, 0.9429657794676806, 0.9201520912547528, 0.8989679521998913, 0.8766974470396524, 0.8522542096686584, 0.8354155350353069, 0.8060836501901141, 0.7838131450298751, 0.759369907658881, 0.7311243889190657, 0.7061379684953829, 0.6827810972297664, 0.6556219445953286, 0.6322650733297122, 0.6089082020640956, 0.5784899511135253, 0.5529603476371537, 0.5263443780554047, 0.5073329712112982, 0.48940793047256925, 0.4508419337316676, 0.4340032590983161, 0.4111895708853884, 0.36556219445953286, 0.33351439435089625, 0.31830526887561106, 0.289516567083107, 0.21238457360130364, 0.10374796306355241, 0.06355241716458447, 0.057577403585008145, 0.045084193373166756, 0.026072786529060293, 0.021727322107550243, 0.019011406844106463, 0.014665942422596416, 0.014665942422596416, 0.013579576317218903, 0.009234111895708854, 0.008690928843020097, 0.008690928843020097, 0.008690928843020097, 0.008690928843020097, 0.008690928843020097, 0.008690928843020097, 0.008690928843020097, 0.008690928843020097, 0.008690928843020097]","[0.9847908745247148, 0.9695817490494296, 0.9565453557848995, 0.9440521455730582, 0.931015752308528, 0.9179793590439979, 0.9038565996740902, 0.8870179250407387, 0.8745247148288974, 0.8593155893536122, 0.8457360130363932, 0.8250950570342205, 0.8098859315589354, 0.7925040738728951, 0.7789244975556763, 0.7675176534492124, 0.7517653449212385, 0.7354698533405758, 0.7208039109179794, 0.7034220532319392, 0.6909288430200978, 0.6719174361759913, 0.6545355784899511, 0.637153720803911, 0.6246605105920695, 0.6051059206952744, 0.5817490494296578, 0.5665399239543726, 0.5399239543726235, 0.5258011950027159, 0.5089625203693645, 0.49701249321021185, 0.4796306355241716, 0.44703965236284626, 0.4383487235198262, 0.4236827810972298, 0.40032590983161326, 0.3932645301466594, 0.38348723519826183, 0.35958718087995656, 0.3476371537208039, 0.3373166757197175, 0.32156436719174364, 0.30635524171645845, 0.2965779467680608, 0.29005975013579577, 0.244975556762629, 0.23465507876154265, 0.2216186854970125, 0.18250950570342206]","[0.973384030418251, 0.9505703422053232, 0.9217816404128191, 0.8984247691472026, 0.8750678978815861, 0.8473655621944596, 0.8294405214557306, 0.8147745790331342, 0.7919608908202064, 0.7696903856599674, 0.7403585008147746, 0.7142857142857143, 0.6969038565996741, 0.6670287887017925, 0.6387832699619772, 0.6143400325909831, 0.5839217816404129, 0.5475285171102662, 0.530146659424226, 0.5160239000543183, 0.4850624660510592, 0.4416078218359587, 0.42422596414991853, 0.40630092341118956, 0.36556219445953286, 0.3389462248777838, 0.3253666485605649, 0.27430744160782183, 0.26398696360673546, 0.23574144486692014, 0.1249321021184139, 0.09505703422053231, 0.09505703422053231, 0.08690928843020097, 0.07604562737642585, 0.033134166214014125, 0.020640956002172733, 0.016295491580662683, 0.016295491580662683, 0.016295491580662683, 0.016295491580662683, 0.014665942422596416, 0.013579576317218903, 0.00977729494839761, 0.00977729494839761, 0.00977729494839761, 0.008147745790331342, 0.0076045627376425855, 0.0076045627376425855, 0.005431830526887561]","[0.9902227050516024, 0.979902227050516, 0.9690385659967409, 0.9587180879956545, 0.948940793047257, 0.9391634980988594, 0.9282998370450842, 0.9179793590439979, 0.9082020640956002, 0.8978815860945139, 0.8875611080934275, 0.8777838131450298, 0.8674633351439435, 0.857686040195546, 0.8468223791417708, 0.8370450841933732, 0.8267246061922868, 0.8169473112438892, 0.8055404671374253, 0.795219989136339, 0.7848995111352526, 0.7756653992395437, 0.7648017381857686, 0.7517653449212385, 0.7381857686040195, 0.7284084736556219, 0.7186311787072244, 0.708310700706138, 0.6969038565996741, 0.6806083650190115, 0.6670287887017925, 0.6556219445953286, 0.6447582835415535, 0.6338946224877784, 0.6219445953286258, 0.6110809342748507, 0.601303639326453, 0.5871808799565453, 0.5752308527973927, 0.5643671917436176, 0.552417164584465, 0.5420966865833786, 0.5317762085822922, 0.5219989136338946, 0.5051602390005432, 0.485605649103748, 0.4725692558392178, 0.4595328625746877, 0.4481260184682238, 0.43617599130907114]","[0.9701249321021184, 0.9321021184139054, 0.9158066268332428, 0.9049429657794676, 0.8924497555676263, 0.8804997284084737, 0.8701792504073873, 0.8571428571428571, 0.8451928299837045, 0.8326996197718631, 0.8245518739815317, 0.815317762085823, 0.8066268332428028, 0.7990222705051603, 0.7903313416621401, 0.78164041281912, 0.7713199348180336, 0.7626290059750136, 0.7561108093427485, 0.7490494296577946, 0.7430744160782183, 0.7365562194459533, 0.7354698533405758, 0.7354698533405758, 0.7354698533405758, 0.7284084736556219, 0.7131993481803368, 0.6996197718631179, 0.6876697447039652, 0.6751765344921239, 0.6648560564910375, 0.6605105920695274, 0.6463878326996197, 0.6338946224877784, 0.6279196089082021, 0.6132536664856056, 0.5985877240630092, 0.5795763172189028, 0.5659967409016838, 0.5448126018468223, 0.5312330255296035, 0.5274307441607822, 0.5084193373166758, 0.489951113525258, 0.4828897338403042, 0.4693101575230853, 0.4541010320478001, 0.4280282455187398, 0.42422596414991853, 0.41281912004345467]","[0.9891363389462249, 0.9793590439978272, 0.9695817490494296, 0.9603476371537208, 0.9500271591526345, 0.9397066811515481, 0.9293862031504617, 0.9206952743074416, 0.9103747963063552, 0.8989679521998913, 0.8897338403041825, 0.8804997284084737, 0.8701792504073873, 0.8604019554589897, 0.8479087452471483, 0.8381314502987507, 0.8299837045084193, 0.8191200434546442, 0.8071700162954916, 0.7957631721890277, 0.7843563280825638, 0.7734926670287887, 0.7615426398696361, 0.7512221618685497, 0.7414448669201521, 0.7316675719717545, 0.7197175448126019, 0.7088538837588267, 0.6990765888104291, 0.6854970124932103, 0.674633351439435, 0.6632265073329712, 0.6501901140684411, 0.6404128191200434, 0.6290059750135796, 0.6110809342748507, 0.5936990765888104, 0.5822922324823465, 0.5676262900597502, 0.5578489951113526, 0.5437262357414449, 0.5274307441607822, 0.516567083107007, 0.5019011406844106, 0.4888647474198805, 0.46985334057577405, 0.45464421510048886, 0.43997827267789247, 0.425312330255296, 0.4117327539380771]","[0.9657794676806084, 0.9494839760999457, 0.9364475828354155, 0.9244975556762629, 0.913090711569799, 0.8967952199891364, 0.8794133623030962, 0.8680065181966322, 0.8549701249321021, 0.841933731667572, 0.8278109722976643, 0.8185768604019554, 0.8011950027159153, 0.7859858772406301, 0.7729494839761, 0.7577403585008148, 0.7447039652362847, 0.7300380228136882, 0.7197175448126019, 0.7039652362846279, 0.6909288430200978, 0.6762629005975014, 0.665942422596415, 0.6501901140684411, 0.6366105377512221, 0.6252036936447583, 0.6099945681694731, 0.5980445410103205, 0.5806626833242803, 0.5649103747963063, 0.5426398696360674, 0.5279739272134709, 0.510048886474742, 0.4932102118413905, 0.47419880499728406, 0.4600760456273764, 0.44758283541553506, 0.4372623574144487, 0.4307441607821836, 0.4084736556219446, 0.3948940793047257, 0.38294405214557303, 0.3737099402498642, 0.3590439978272678, 0.34220532319391633, 0.32265073329712113, 0.30744160782183594, 0.29114611624117326, 0.28680065181966324, 0.2759369907658881]","[0.9701249321021184, 0.9505703422053232, 0.9239543726235742, 0.9005975013579577, 0.8772406300923411, 0.8544269418794134, 0.8354155350353069, 0.8174904942965779, 0.7984790874524715, 0.7718631178707225, 0.7501357957631722, 0.7322107550244432, 0.7039652362846279, 0.6789788158609451, 0.6534492123845737, 0.6284627919608908, 0.5975013579576317, 0.5822922324823465, 0.5551330798479087, 0.5306898424769148, 0.489951113525258, 0.4660510592069527, 0.44866920152091255, 0.41553503530689845, 0.38511678435632807, 0.3704508419337317, 0.3568712656165128, 0.33514394350896254, 0.2965779467680608, 0.23248234655078762, 0.20695274307441608, 0.15697990222705052, 0.1482889733840304, 0.09179793590439979, 0.053231939163498096, 0.026615969581749048, 0.017381857686040194, 0.017381857686040194, 0.013036393264530146, 0.010863661053775122, 0.010863661053775122, 0.00977729494839761, 0.00977729494839761, 0.00977729494839761, 0.00977729494839761, 0.00977729494839761, 0.00977729494839761, 0.008147745790331342, 0.0076045627376425855, 0.005431830526887561]","[0.9646931015752308, 0.9456816947311244, 0.9250407387289517, 0.9082020640956002, 0.888647474198805, 0.8766974470396524, 0.8555133079847909, 0.8381314502987507, 0.8191200434546442, 0.8104291146116241, 0.7979359043997827, 0.7854426941879413, 0.7696903856599674, 0.757197175448126, 0.7425312330255296, 0.7322107550244432, 0.7202607278652906, 0.7023356871265617, 0.6838674633351439, 0.6719174361759913, 0.6572514937533949, 0.6398696360673547, 0.6224877783813145, 0.6089082020640956, 0.5953286257468767, 0.576860401955459, 0.55893536121673, 0.5404671374253124, 0.5171102661596958, 0.4991852254209669, 0.4720260727865291, 0.4600760456273764, 0.43617599130907114, 0.42259641499185224, 0.3900054318305269, 0.376425855513308, 0.3639326453014666, 0.3508962520369365, 0.32862574687669743, 0.3009234111895709, 0.2949483976099946, 0.2857142857142857, 0.2710483432916893, 0.2498642042368278, 0.23791417707767518, 0.1928299837045084, 0.13199348180336773, 0.12710483432916894, 0.1249321021184139, 0.1249321021184139]"
bn_cat_mixed_species_brain_1,"[0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9076923076923077, 0.9, 0.8923076923076924, 0.8846153846153846, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8076923076923077, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7153846153846154, 0.7076923076923077, 0.7, 0.6923076923076923, 0.6846153846153846, 0.6692307692307692, 0.6615384615384615, 0.6461538461538462, 0.6384615384615384, 0.6307692307692307, 0.6153846153846154, 0.6076923076923076, 0.6, 0.5923076923076923, 0.5846153846153846, 0.5692307692307692]","[0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9692307692307692, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9076923076923077, 0.8923076923076924, 0.8846153846153846, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8076923076923077, 0.8, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7153846153846154, 0.7076923076923077, 0.7, 0.6923076923076923, 0.6846153846153846, 0.676923076923077, 0.6692307692307692, 0.6461538461538462, 0.6384615384615384, 0.6307692307692307, 0.6230769230769231, 0.6076923076923076, 0.6, 0.5923076923076923, 0.5846153846153846]","[0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9692307692307692, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9076923076923077, 0.9, 0.8923076923076924, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8076923076923077, 0.8, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7153846153846154, 0.7076923076923077, 0.7, 0.6923076923076923, 0.676923076923077, 0.6692307692307692, 0.6615384615384615, 0.6538461538461539, 0.6461538461538462, 0.6384615384615384, 0.6230769230769231, 0.6153846153846154, 0.6, 0.5923076923076923, 0.3076923076923077]","[0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9692307692307692, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9076923076923077, 0.9, 0.8923076923076924, 0.8846153846153846, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.8153846153846154, 0.8076923076923077, 0.8, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7153846153846154, 0.7076923076923077, 0.7, 0.6923076923076923, 0.676923076923077, 0.6692307692307692, 0.6615384615384615, 0.6538461538461539, 0.6461538461538462, 0.6384615384615384, 0.6307692307692307, 0.6230769230769231, 0.6153846153846154, 0.6076923076923076, 0.6]","[0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9692307692307692, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9076923076923077, 0.9, 0.8923076923076924, 0.8846153846153846, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8076923076923077, 0.8, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7153846153846154, 0.7076923076923077, 0.7, 0.6923076923076923, 0.6846153846153846, 0.676923076923077, 0.6692307692307692, 0.6615384615384615, 0.6538461538461539, 0.6461538461538462, 0.6384615384615384, 0.6307692307692307, 0.6230769230769231, 0.6153846153846154, 0.6]","[0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9692307692307692, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9076923076923077, 0.8923076923076924, 0.8846153846153846, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8076923076923077, 0.8, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7153846153846154, 0.7076923076923077, 0.7, 0.6923076923076923, 0.6846153846153846, 0.676923076923077, 0.6692307692307692, 0.6461538461538462, 0.6384615384615384, 0.6307692307692307, 0.6230769230769231, 0.6076923076923076, 0.6, 0.5923076923076923, 0.5846153846153846]","[0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9692307692307692, 0.9615384615384616, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9076923076923077, 0.9, 0.8846153846153846, 0.8769230769230769, 0.8615384615384616, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8076923076923077, 0.8076923076923077, 0.8, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7230769230769231, 0.7076923076923077, 0.7, 0.6692307692307692, 0.6692307692307692, 0.6615384615384615, 0.6384615384615384, 0.6307692307692307, 0.6230769230769231, 0.6153846153846154, 0.6076923076923076, 0.6076923076923076, 0.6, 0.5846153846153846, 0.5769230769230769, 0.5692307692307692, 0.5615384615384615, 0.5384615384615384, 0.5307692307692308]","[0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9692307692307692, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9076923076923077, 0.9, 0.8923076923076924, 0.8846153846153846, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8076923076923077, 0.8, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7153846153846154, 0.7, 0.6923076923076923, 0.676923076923077, 0.6692307692307692, 0.6615384615384615, 0.6538461538461539, 0.6461538461538462, 0.6384615384615384, 0.6307692307692307, 0.6230769230769231, 0.6153846153846154, 0.6076923076923076, 0.6, 0.5923076923076923, 0.5846153846153846, 0.5769230769230769]","[0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9692307692307692, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9153846153846154, 0.9076923076923077, 0.9, 0.8846153846153846, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7153846153846154, 0.7076923076923077, 0.7, 0.6923076923076923, 0.676923076923077, 0.6538461538461539, 0.6461538461538462, 0.6384615384615384, 0.6230769230769231, 0.6153846153846154, 0.6076923076923076, 0.6, 0.5923076923076923, 0.5769230769230769, 0.5615384615384615, 0.5538461538461539, 0.5461538461538461]"
bn_macaque_rhesus_brain_2,"[0.9803921568627451, 0.9411764705882353, 0.9215686274509803, 0.9019607843137255, 0.8627450980392157, 0.803921568627451, 0.6666666666666666, 0.47058823529411764, 0.4215686274509804, 0.35294117647058826, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745]","[0.9803921568627451, 0.9411764705882353, 0.9215686274509803, 0.9019607843137255, 0.8627450980392157, 0.803921568627451, 0.6862745098039216, 0.47058823529411764, 0.46078431372549017, 0.45098039215686275, 0.4411764705882353, 0.43137254901960786, 0.4215686274509804, 0.4117647058823529, 0.4019607843137255, 0.39215686274509803, 0.38235294117647056, 0.37254901960784315, 0.3627450980392157, 0.35294117647058826, 0.3431372549019608, 0.3333333333333333, 0.3235294117647059, 0.3137254901960784, 0.30392156862745096, 0.29411764705882354, 0.28431372549019607, 0.27450980392156865, 0.2647058823529412, 0.2549019607843137, 0.24509803921568626, 0.23529411764705882, 0.22549019607843138, 0.21568627450980393, 0.20588235294117646, 0.19607843137254902, 0.18627450980392157, 0.17647058823529413, 0.16666666666666666, 0.1568627450980392, 0.14705882352941177, 0.14705882352941177, 0.14705882352941177, 0.14705882352941177, 0.13725490196078433, 0.12745098039215685, 0.12745098039215685, 0.11764705882352941, 0.10784313725490197, 0.09803921568627451]","[0.9803921568627451, 0.9411764705882353, 0.9215686274509803, 0.9019607843137255, 0.8627450980392157, 0.803921568627451, 0.6862745098039216, 0.47058823529411764, 0.4019607843137255, 0.3431372549019608, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745]","[0.9901960784313726, 0.9803921568627451, 0.9705882352941176, 0.9607843137254902, 0.9509803921568627, 0.9411764705882353, 0.9313725490196079, 0.9215686274509803, 0.9117647058823529, 0.9019607843137255, 0.8921568627450981, 0.8823529411764706, 0.8725490196078431, 0.8627450980392157, 0.8529411764705882, 0.8431372549019608, 0.8333333333333334, 0.8235294117647058, 0.8137254901960784, 0.803921568627451, 0.7941176470588235, 0.7843137254901961, 0.7745098039215687, 0.7647058823529411, 0.7549019607843137, 0.7450980392156863, 0.7352941176470589, 0.7254901960784313, 0.7156862745098039, 0.7058823529411765, 0.696078431372549, 0.6862745098039216, 0.6764705882352942, 0.6666666666666666, 0.6568627450980392, 0.6470588235294118, 0.6372549019607843, 0.6274509803921569, 0.6176470588235294, 0.6078431372549019, 0.5980392156862745, 0.5882352941176471, 0.5784313725490197, 0.5686274509803921, 0.5588235294117647, 0.5490196078431373, 0.5392156862745098, 0.5294117647058824, 0.5196078431372549, 0.5098039215686274]","[0.9901960784313726, 0.9803921568627451, 0.9705882352941176, 0.9607843137254902, 0.9411764705882353, 0.9117647058823529, 0.9019607843137255, 0.8823529411764706, 0.8627450980392157, 0.7941176470588235, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745]","[0.9803921568627451, 0.9411764705882353, 0.9215686274509803, 0.9019607843137255, 0.8627450980392157, 0.803921568627451, 0.6862745098039216, 0.47058823529411764, 0.46078431372549017, 0.45098039215686275, 0.4411764705882353, 0.43137254901960786, 0.4215686274509804, 0.4117647058823529, 0.4019607843137255, 0.39215686274509803, 0.38235294117647056, 0.37254901960784315, 0.3627450980392157, 0.35294117647058826, 0.3431372549019608, 0.3333333333333333, 0.3235294117647059, 0.3137254901960784, 0.30392156862745096, 0.29411764705882354, 0.28431372549019607, 0.27450980392156865, 0.2647058823529412, 0.2549019607843137, 0.24509803921568626, 0.23529411764705882, 0.22549019607843138, 0.21568627450980393, 0.20588235294117646, 0.19607843137254902, 0.18627450980392157, 0.17647058823529413, 0.16666666666666666, 0.1568627450980392, 0.14705882352941177, 0.14705882352941177, 0.14705882352941177, 0.14705882352941177, 0.13725490196078433, 0.12745098039215685, 0.12745098039215685, 0.11764705882352941, 0.10784313725490197, 0.09803921568627451]","[0.9803921568627451, 0.9705882352941176, 0.9607843137254902, 0.9509803921568627, 0.9313725490196079, 0.9117647058823529, 0.8921568627450981, 0.8725490196078431, 0.8627450980392157, 0.8627450980392157, 0.8529411764705882, 0.5588235294117647, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745]","[0.9803921568627451, 0.9411764705882353, 0.9215686274509803, 0.9019607843137255, 0.8627450980392157, 0.803921568627451, 0.6862745098039216, 0.47058823529411764, 0.4215686274509804, 0.3431372549019608, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745]","[0.9803921568627451, 0.9705882352941176, 0.9607843137254902, 0.9509803921568627, 0.9313725490196079, 0.9117647058823529, 0.8921568627450981, 0.8725490196078431, 0.8627450980392157, 0.5686274509803921, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745]"
