"seed","PLci","percolation"
1,0.0736842105263158,640
2,0.121052631578947,0
3,0.105263157894737,0
4,0.0631578947368421,32
5,0.0736842105263158,36
6,0.1,212
7,0.115789473684211,84
8,0.0578947368421053,264
9,0.0473684210526316,264
10,0.0894736842105263,102
11,0.194736842105263,3520
12,0.263157894736842,0
13,0.336842105263158,135
14,0.247368421052632,276
15,0.263157894736842,528
16,0.326315789473684,905
17,0.347368421052632,516
18,0.326315789473684,1130
19,0.278947368421053,336
20,0.131578947368421,218
21,0.315789473684211,543
22,0.352631578947368,350
23,0.284210526315789,111
24,0.347368421052632,528
25,0.315789473684211,495
26,0.315789473684211,498
27,0.347368421052632,501
28,0.363157894736842,736
29,0.252631578947368,426
30,0.289473684210526,784
31,0.321052631578947,700
32,0.0842105263157895,685
33,0.105263157894737,0
34,0.2,450
35,0.105263157894737,88
36,0.242105263157895,143
37,0.0631578947368421,79
38,0.0894736842105263,1272
39,0.0578947368421053,1224
40,0.226315789473684,798
41,0.0473684210526316,190
42,0.247368421052632,564
43,0.168421052631579,2783
44,0.357894736842105,501
45,0.226315789473684,520
46,0.289473684210526,222
47,0.152631578947368,436
48,0.0894736842105263,1440
49,0.368421052631579,660
50,0.263157894736842,456
51,0.305263157894737,417
52,0.257894736842105,604
53,0.184210526315789,672
54,0.347368421052632,141
55,0.126315789473684,2340
56,0.152631578947368,1968
57,0.178947368421053,129
58,0.168421052631579,507
59,0.221052631578947,136
60,0.142105263157895,0
61,0.0789473684210526,316
62,0.147368421052632,1441
63,0.242105263157895,560
64,0.147368421052632,530
65,0.221052631578947,459
66,0.136842105263158,2665
67,0.152631578947368,258
68,0.163157894736842,2448
69,0.226315789473684,242
70,0.252631578947368,630
71,0.226315789473684,1688
72,0.152631578947368,732
73,0.0789473684210526,462
74,0.0526315789473684,137
75,0.268421052631579,0
76,0.068421052631579,468
77,0.173684210526316,894
78,0.0947368421052632,790
79,0.0947368421052632,327
80,0.321052631578947,0
81,0.142105263157895,412
82,0.1,688
83,0.136842105263158,555
84,0.142105263157895,0
85,0.2,507
86,0.2,510
87,0.0736842105263158,112
88,0.205263157894737,276
89,0.068421052631579,516
90,0.157894736842105,2771
91,0.221052631578947,420
92,0.278947368421053,282
93,0.236842105263158,576
94,0.168421052631579,720
95,0.247368421052632,876
96,0.221052631578947,994
97,0.236842105263158,536
98,0.284210526315789,393
99,0.189473684210526,1001
100,0.289473684210526,540
101,0.236842105263158,1404
102,0.310526315789474,NA
103,0.189473684210526,NA
104,0.257894736842105,NA
105,0.131578947368421,1488
106,0.215789473684211,400
107,0.126315789473684,475
108,0.0473684210526316,0
109,0.221052631578947,483
110,0.0894736842105263,392
111,0.1,894
112,0.189473684210526,170
113,0.210526315789474,173
114,0.342105263157895,0
115,0.126315789473684,168
116,0.110526315789474,912
117,0.189473684210526,145
118,0.2,168
119,0.231578947368421,0
120,0.189473684210526,0
121,0.210526315789474,156
122,0.0736842105263158,NA
123,0.121052631578947,0
124,0.0736842105263158,107
125,0.115789473684211,597
126,0.0842105263157895,0
127,0.121052631578947,616
128,0.0578947368421053,112
129,0.1,134
130,0.0947368421052632,198
131,0.0842105263157895,117
132,0.205263157894737,0
133,0.0631578947368421,0
134,0.115789473684211,520
135,0.0789473684210526,108
136,0.0368421052631579,308
137,0.205263157894737,0
138,0.0631578947368421,0
139,0.0736842105263158,41
140,0.068421052631579,70
141,0.173684210526316,316
142,0.131578947368421,162
143,0.184210526315789,NA
144,0.068421052631579,236
145,0.2,234
146,0.236842105263158,NA
147,0.110526315789474,0
148,0.0631578947368421,350
149,0.0736842105263158,321
150,0.189473684210526,2210
151,0.252631578947368,NA
152,0.221052631578947,NA
153,0.215789473684211,166
154,0.136842105263158,NA
155,0.0736842105263158,NA
156,0.0315789473684211,0
157,0.0473684210526316,NA
158,0.0263157894736842,0
159,0.0736842105263158,0
160,0.0421052631578947,0
161,0.0947368421052632,300
162,0.147368421052632,1188
163,0.184210526315789,0
164,0.194736842105263,1888
165,0.210526315789474,NA
166,0.226315789473684,176
167,0.252631578947368,1125
168,0.205263157894737,NA
169,0.178947368421053,192
170,0.147368421052632,702
171,0.1,896
172,0.152631578947368,492
173,0.205263157894737,160
174,0.173684210526316,152
175,0.368421052631579,0
176,0.142105263157895,144
177,0.115789473684211,567
178,0.152631578947368,276
179,0.178947368421053,0
180,0.0578947368421053,0
181,0.157894736842105,91
182,0.136842105263158,53
183,0.152631578947368,170
184,0.0842105263157895,132
185,0.0368421052631579,0
186,0.126315789473684,41
187,0.252631578947368,0
188,0.126315789473684,0
189,0.0473684210526316,0
190,0.0263157894736842,0
