,network,BC,NBC,MEB,MEC,MED
0,bn_macaque_rhesus_brain_2,"[1.0, 0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9076923076923077, 0.9, 0.8923076923076924, 0.8846153846153846, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8076923076923077, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7153846153846154, 0.7076923076923077, 0.7, 0.6923076923076923, 0.6846153846153846, 0.6692307692307692, 0.6615384615384615, 0.6461538461538462, 0.6384615384615384, 0.6307692307692307, 0.6153846153846154, 0.6076923076923076, 0.6, 0.5923076923076923, 0.5846153846153846, 0.5692307692307692, 0.4307692307692308, 0.4307692307692308, 0.4230769230769231, 0.4230769230769231, 0.4230769230769231, 0.4153846153846154, 0.4076923076923077, 0.4, 0.3923076923076923, 0.38461538461538464, 0.38461538461538464, 0.23076923076923078, 0.23076923076923078, 0.2230769230769231, 0.2230769230769231, 0.2076923076923077, 0.2, 0.2, 0.19230769230769232, 0.19230769230769232, 0.19230769230769232, 0.18461538461538463, 0.1076923076923077, 0.1, 0.1, 0.09230769230769231, 0.09230769230769231, 0.09230769230769231, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.06923076923076923, 0.06923076923076923, 0.05384615384615385, 0.046153846153846156, 0.046153846153846156, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.023076923076923078]","[1.0, 0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9076923076923077, 0.9, 0.8923076923076924, 0.8846153846153846, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.8153846153846154, 0.8076923076923077, 0.8, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7153846153846154, 0.7076923076923077, 0.7, 0.6923076923076923, 0.6846153846153846, 0.676923076923077, 0.6692307692307692, 0.6615384615384615, 0.6461538461538462, 0.6384615384615384, 0.6307692307692307, 0.6230769230769231, 0.6076923076923076, 0.6, 0.5846153846153846, 0.5769230769230769, 0.5692307692307692, 0.4307692307692308, 0.4307692307692308, 0.4307692307692308, 0.4230769230769231, 0.4230769230769231, 0.4153846153846154, 0.4076923076923077, 0.4, 0.3923076923076923, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.3769230769230769, 0.36153846153846153, 0.35384615384615387, 0.3384615384615385, 0.3, 0.2923076923076923, 0.16153846153846155, 0.15384615384615385, 0.15384615384615385, 0.14615384615384616, 0.14615384615384616, 0.1076923076923077, 0.1, 0.1, 0.09230769230769231, 0.09230769230769231, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.06923076923076923, 0.06923076923076923, 0.05384615384615385, 0.05384615384615385, 0.05384615384615385, 0.05384615384615385, 0.046153846153846156, 0.046153846153846156, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.023076923076923078]","[1.0, 0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9076923076923077, 0.9, 0.8923076923076924, 0.8846153846153846, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8076923076923077, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7153846153846154, 0.7076923076923077, 0.7, 0.6923076923076923, 0.6846153846153846, 0.6692307692307692, 0.6615384615384615, 0.6538461538461539, 0.6384615384615384, 0.6307692307692307, 0.6230769230769231, 0.45384615384615384, 0.4461538461538462, 0.43846153846153846, 0.4307692307692308, 0.4230769230769231, 0.4153846153846154, 0.4076923076923077, 0.4076923076923077, 0.4, 0.4, 0.4, 0.4, 0.3923076923076923, 0.3769230769230769, 0.3769230769230769, 0.36923076923076925, 0.23846153846153847, 0.23076923076923078, 0.2230769230769231, 0.2153846153846154, 0.2153846153846154, 0.11538461538461539, 0.1076923076923077, 0.1076923076923077, 0.1076923076923077, 0.1076923076923077, 0.1076923076923077, 0.1076923076923077, 0.1, 0.1, 0.1, 0.1, 0.1, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.05384615384615385, 0.05384615384615385, 0.046153846153846156, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.023076923076923078]","[1.0, 0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9692307692307692, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9230769230769231, 0.9153846153846154, 0.9, 0.8923076923076924, 0.8846153846153846, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8076923076923077, 0.8, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7153846153846154, 0.7076923076923077, 0.6923076923076923, 0.6846153846153846, 0.676923076923077, 0.6692307692307692, 0.6615384615384615, 0.6538461538461539, 0.6461538461538462, 0.6384615384615384, 0.6230769230769231, 0.6153846153846154, 0.6, 0.5923076923076923, 0.5846153846153846, 0.3, 0.3, 0.3, 0.2923076923076923, 0.25384615384615383, 0.25384615384615383, 0.25384615384615383, 0.24615384615384617, 0.24615384615384617, 0.23846153846153847, 0.23846153846153847, 0.2230769230769231, 0.2230769230769231, 0.2230769230769231, 0.2230769230769231, 0.2230769230769231, 0.2230769230769231, 0.2230769230769231, 0.2153846153846154, 0.2153846153846154, 0.13076923076923078, 0.13076923076923078, 0.12307692307692308, 0.12307692307692308, 0.12307692307692308, 0.11538461538461539, 0.1076923076923077, 0.1076923076923077, 0.1076923076923077, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.06153846153846154, 0.046153846153846156, 0.046153846153846156, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464]","[1.0, 0.9923076923076923, 0.9846153846153847, 0.9769230769230769, 0.9692307692307692, 0.9615384615384616, 0.9538461538461539, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.9153846153846154, 0.9076923076923077, 0.9, 0.8923076923076924, 0.8846153846153846, 0.8769230769230769, 0.8692307692307693, 0.8615384615384616, 0.8538461538461538, 0.8461538461538461, 0.8384615384615385, 0.8307692307692308, 0.823076923076923, 0.8153846153846154, 0.8076923076923077, 0.8, 0.7923076923076923, 0.7846153846153846, 0.7769230769230769, 0.7692307692307693, 0.7615384615384615, 0.7538461538461538, 0.7461538461538462, 0.7384615384615385, 0.7307692307692307, 0.7230769230769231, 0.7076923076923077, 0.7, 0.6923076923076923, 0.6846153846153846, 0.676923076923077, 0.6692307692307692, 0.6615384615384615, 0.6538461538461539, 0.6384615384615384, 0.6307692307692307, 0.6230769230769231, 0.6153846153846154, 0.6, 0.43846153846153846, 0.4230769230769231, 0.4153846153846154, 0.4, 0.25384615384615383, 0.25384615384615383, 0.24615384615384617, 0.24615384615384617, 0.24615384615384617, 0.23846153846153847, 0.23846153846153847, 0.23846153846153847, 0.23846153846153847, 0.23846153846153847, 0.23076923076923078, 0.14615384615384616, 0.14615384615384616, 0.13846153846153847, 0.13846153846153847, 0.13076923076923078, 0.13076923076923078, 0.13076923076923078, 0.13076923076923078, 0.13076923076923078, 0.13076923076923078, 0.13076923076923078, 0.13076923076923078, 0.11538461538461539, 0.1076923076923077, 0.1076923076923077, 0.1076923076923077, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.08461538461538462, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.06923076923076923, 0.06153846153846154, 0.046153846153846156, 0.046153846153846156, 0.046153846153846156, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464]"
1,word_adjacencies,"[1.0, 0.9821428571428571, 0.9464285714285714, 0.9375, 0.9285714285714286, 0.9107142857142857, 0.8928571428571429, 0.875, 0.8660714285714286, 0.8482142857142857, 0.8392857142857143, 0.8303571428571429, 0.8214285714285714, 0.8035714285714286, 0.7857142857142857, 0.7767857142857143, 0.7589285714285714, 0.75, 0.7321428571428571, 0.7232142857142857, 0.7053571428571429, 0.6875, 0.6696428571428571, 0.6517857142857143, 0.6428571428571429, 0.6339285714285714, 0.625, 0.6071428571428571, 0.5982142857142857, 0.5892857142857143, 0.5803571428571429, 0.5714285714285714, 0.5535714285714286, 0.5357142857142857, 0.5089285714285714, 0.48214285714285715, 0.4732142857142857, 0.4642857142857143, 0.44642857142857145, 0.42857142857142855, 0.41964285714285715, 0.39285714285714285, 0.36607142857142855, 0.3392857142857143, 0.32142857142857145, 0.29464285714285715, 0.2767857142857143, 0.19642857142857142, 0.14285714285714285, 0.10714285714285714, 0.10714285714285714, 0.08928571428571429, 0.08928571428571429, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.026785714285714284, 0.026785714285714284, 0.026785714285714284, 0.026785714285714284, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428]","[1.0, 0.9821428571428571, 0.9464285714285714, 0.9375, 0.9285714285714286, 0.9107142857142857, 0.8928571428571429, 0.875, 0.8660714285714286, 0.8482142857142857, 0.8392857142857143, 0.8303571428571429, 0.8214285714285714, 0.8035714285714286, 0.7857142857142857, 0.7678571428571429, 0.7589285714285714, 0.75, 0.7321428571428571, 0.7142857142857143, 0.6964285714285714, 0.6785714285714286, 0.6696428571428571, 0.6607142857142857, 0.6428571428571429, 0.6339285714285714, 0.625, 0.6160714285714286, 0.5982142857142857, 0.5803571428571429, 0.5714285714285714, 0.5625, 0.5535714285714286, 0.5357142857142857, 0.5089285714285714, 0.48214285714285715, 0.4732142857142857, 0.4642857142857143, 0.44642857142857145, 0.42857142857142855, 0.4017857142857143, 0.375, 0.36607142857142855, 0.3392857142857143, 0.32142857142857145, 0.29464285714285715, 0.16071428571428573, 0.16071428571428573, 0.125, 0.10714285714285714, 0.08928571428571429, 0.08928571428571429, 0.08928571428571429, 0.08928571428571429, 0.08928571428571429, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.03571428571428571, 0.026785714285714284, 0.026785714285714284, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428]","[1.0, 0.9821428571428571, 0.9464285714285714, 0.9375, 0.9285714285714286, 0.9107142857142857, 0.8928571428571429, 0.875, 0.8571428571428571, 0.8482142857142857, 0.8392857142857143, 0.8303571428571429, 0.8214285714285714, 0.8125, 0.8035714285714286, 0.7857142857142857, 0.7678571428571429, 0.7589285714285714, 0.7232142857142857, 0.7142857142857143, 0.6964285714285714, 0.6785714285714286, 0.6696428571428571, 0.6607142857142857, 0.6517857142857143, 0.6428571428571429, 0.625, 0.6071428571428571, 0.6071428571428571, 0.5982142857142857, 0.5803571428571429, 0.5625, 0.5357142857142857, 0.5089285714285714, 0.49107142857142855, 0.48214285714285715, 0.4732142857142857, 0.45535714285714285, 0.4375, 0.4107142857142857, 0.38392857142857145, 0.36607142857142855, 0.3482142857142857, 0.22321428571428573, 0.22321428571428573, 0.21428571428571427, 0.10714285714285714, 0.10714285714285714, 0.10714285714285714, 0.08928571428571429, 0.0625, 0.0625, 0.05357142857142857, 0.044642857142857144, 0.044642857142857144, 0.03571428571428571, 0.026785714285714284, 0.026785714285714284, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428]","[1.0, 0.9821428571428571, 0.9464285714285714, 0.9375, 0.9285714285714286, 0.9196428571428571, 0.8928571428571429, 0.8839285714285714, 0.875, 0.8660714285714286, 0.8482142857142857, 0.8392857142857143, 0.8214285714285714, 0.8035714285714286, 0.7946428571428571, 0.7857142857142857, 0.7678571428571429, 0.7589285714285714, 0.75, 0.7321428571428571, 0.7232142857142857, 0.7142857142857143, 0.7053571428571429, 0.6964285714285714, 0.6875, 0.6517857142857143, 0.625, 0.6160714285714286, 0.6071428571428571, 0.5982142857142857, 0.5714285714285714, 0.5446428571428571, 0.5178571428571429, 0.49107142857142855, 0.48214285714285715, 0.4732142857142857, 0.44642857142857145, 0.4375, 0.42857142857142855, 0.4107142857142857, 0.4017857142857143, 0.38392857142857145, 0.24107142857142858, 0.17857142857142858, 0.15178571428571427, 0.11607142857142858, 0.11607142857142858, 0.11607142857142858, 0.10714285714285714, 0.10714285714285714, 0.10714285714285714, 0.10714285714285714, 0.0625, 0.0625, 0.0625, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428]","[1.0, 0.9821428571428571, 0.9464285714285714, 0.9375, 0.9285714285714286, 0.9196428571428571, 0.8928571428571429, 0.8839285714285714, 0.875, 0.8571428571428571, 0.8482142857142857, 0.8303571428571429, 0.8214285714285714, 0.8035714285714286, 0.7946428571428571, 0.7857142857142857, 0.7767857142857143, 0.7589285714285714, 0.75, 0.7410714285714286, 0.7321428571428571, 0.7232142857142857, 0.7053571428571429, 0.6964285714285714, 0.6607142857142857, 0.6339285714285714, 0.6071428571428571, 0.5982142857142857, 0.5714285714285714, 0.5625, 0.5357142857142857, 0.5267857142857143, 0.5089285714285714, 0.48214285714285715, 0.48214285714285715, 0.4732142857142857, 0.4642857142857143, 0.4375, 0.42857142857142855, 0.4017857142857143, 0.39285714285714285, 0.25892857142857145, 0.24107142857142858, 0.17857142857142858, 0.15178571428571427, 0.11607142857142858, 0.11607142857142858, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428, 0.008928571428571428]"
2,circuits_s208,"[1.0, 0.9918032786885246, 0.9836065573770492, 0.9754098360655737, 0.9672131147540983, 0.9590163934426229, 0.9508196721311475, 0.9426229508196722, 0.8934426229508197, 0.8360655737704918, 0.8278688524590164, 0.8032786885245902, 0.7950819672131147, 0.7868852459016393, 0.7786885245901639, 0.5491803278688525, 0.4672131147540984, 0.3360655737704918, 0.28688524590163933, 0.2459016393442623, 0.2459016393442623, 0.2459016393442623, 0.2459016393442623, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.11475409836065574, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032]","[1.0, 0.9918032786885246, 0.9836065573770492, 0.9754098360655737, 0.9672131147540983, 0.9590163934426229, 0.9508196721311475, 0.9426229508196722, 0.8934426229508197, 0.8360655737704918, 0.8278688524590164, 0.8032786885245902, 0.7950819672131147, 0.7868852459016393, 0.7786885245901639, 0.5491803278688525, 0.4672131147540984, 0.3360655737704918, 0.28688524590163933, 0.2459016393442623, 0.2459016393442623, 0.2459016393442623, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.11475409836065574, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032]","[1.0, 0.9918032786885246, 0.9836065573770492, 0.9754098360655737, 0.9672131147540983, 0.9590163934426229, 0.9098360655737705, 0.8524590163934426, 0.7131147540983607, 0.6639344262295082, 0.6557377049180327, 0.5245901639344263, 0.5163934426229508, 0.4672131147540984, 0.4672131147540984, 0.4426229508196721, 0.36885245901639346, 0.36065573770491804, 0.36065573770491804, 0.22950819672131148, 0.18032786885245902, 0.18032786885245902, 0.16393442622950818, 0.16393442622950818, 0.1557377049180328, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.12295081967213115, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032]","[1.0, 0.9918032786885246, 0.9836065573770492, 0.9754098360655737, 0.9262295081967213, 0.9180327868852459, 0.860655737704918, 0.8524590163934426, 0.8032786885245902, 0.6639344262295082, 0.6639344262295082, 0.6557377049180327, 0.6065573770491803, 0.6065573770491803, 0.5983606557377049, 0.4672131147540984, 0.4672131147540984, 0.45901639344262296, 0.4426229508196721, 0.2540983606557377, 0.2540983606557377, 0.2540983606557377, 0.2459016393442623, 0.1885245901639344, 0.1557377049180328, 0.13114754098360656, 0.13114754098360656, 0.11475409836065574, 0.11475409836065574, 0.11475409836065574, 0.11475409836065574, 0.11475409836065574, 0.11475409836065574, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032]","[1.0, 0.9918032786885246, 0.9836065573770492, 0.9754098360655737, 0.9672131147540983, 0.9180327868852459, 0.9098360655737705, 0.860655737704918, 0.8032786885245902, 0.7950819672131147, 0.6065573770491803, 0.6065573770491803, 0.6065573770491803, 0.4918032786885246, 0.48360655737704916, 0.29508196721311475, 0.2786885245901639, 0.26229508196721313, 0.26229508196721313, 0.2540983606557377, 0.2540983606557377, 0.2540983606557377, 0.22950819672131148, 0.18032786885245902, 0.16393442622950818, 0.14754098360655737, 0.14754098360655737, 0.13934426229508196, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032, 0.10655737704918032]"
