,network,random,BC,greedy
0,bn_macaque_rhesus_brain_2,"[0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.16108452950558214, 0.1594896331738437, 0.1594896331738437, 0.1594896331738437, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15629984051036683, 0.15629984051036683, 0.15629984051036683, 0.15629984051036683, 0.15629984051036683, 0.1547049441786284, 0.1547049441786284, 0.1547049441786284, 0.1547049441786284, 0.1547049441786284, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15151515151515152, 0.15151515151515152, 0.15151515151515152, 0.15151515151515152, 0.15151515151515152, 0.14992025518341306, 0.14992025518341306, 0.14832535885167464, 0.1467304625199362, 0.14513556618819776, 0.14354066985645933, 0.14354066985645933, 0.14354066985645933, 0.1419457735247209, 0.14035087719298245, 0.13875598086124402, 0.13556618819776714, 0.1339712918660287, 0.13078149920255183, 0.13078149920255183, 0.13078149920255183, 0.13078149920255183, 0.13078149920255183, 0.12599681020733652, 0.12599681020733652, 0.12121212121212122, 0.11802232854864433, 0.11642743221690591, 0.11323763955342903, 0.11323763955342903, 0.10685805422647528, 0.10685805422647528, 0.10207336523125997, 0.09888357256778309, 0.09569377990430622, 0.08931419457735247, 0.0861244019138756, 0.08293460925039872, 0.07496012759170653, 0.07177033492822966, 0.046251993620414676, 0.0430622009569378, 0.014354066985645933, 0.011164274322169059, 0.009569377990430622, 0.007974481658692184, 0.006379585326953748, 0.001594896331738437]","[0.16108452950558214, 0.15789473684210525, 0.1547049441786284, 0.1547049441786284, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15151515151515152, 0.1467304625199362, 0.14513556618819776, 0.14513556618819776, 0.14513556618819776, 0.14354066985645933, 0.14354066985645933, 0.14354066985645933, 0.14354066985645933, 0.14354066985645933, 0.14354066985645933, 0.13875598086124402, 0.1339712918660287, 0.12440191387559808, 0.12440191387559808, 0.12440191387559808, 0.12440191387559808, 0.12440191387559808, 0.12280701754385964, 0.12280701754385964, 0.12280701754385964, 0.12280701754385964, 0.12280701754385964, 0.12280701754385964, 0.12121212121212122, 0.11642743221690591, 0.11164274322169059, 0.11164274322169059, 0.11164274322169059, 0.11164274322169059, 0.11004784688995216, 0.11004784688995216, 0.10845295055821372, 0.10526315789473684, 0.09888357256778309, 0.09888357256778309, 0.09728867623604466, 0.09728867623604466, 0.09728867623604466, 0.09728867623604466, 0.09728867623604466, 0.09728867623604466, 0.09250398724082935, 0.09250398724082935, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.08931419457735247, 0.08931419457735247, 0.08931419457735247, 0.08931419457735247, 0.08931419457735247, 0.08931419457735247, 0.08931419457735247, 0.08931419457735247, 0.08931419457735247, 0.0861244019138756, 0.08293460925039872, 0.08293460925039872, 0.08133971291866028, 0.08133971291866028, 0.08133971291866028, 0.08133971291866028, 0.08133971291866028, 0.07974481658692185, 0.07974481658692185, 0.07974481658692185, 0.07814992025518341, 0.07814992025518341, 0.07814992025518341, 0.07655502392344497, 0.07655502392344497, 0.07655502392344497, 0.0733652312599681, 0.0733652312599681, 0.0733652312599681, 0.0685805422647528, 0.06220095693779904, 0.05741626794258373, 0.05582137161084529, 0.05422647527910686, 0.049441786283891544, 0.049441786283891544, 0.049441786283891544, 0.046251993620414676, 0.03987240829346093, 0.03668261562998405, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.02073365231259968, 0.011164274322169059, 0.001594896331738437]","[0.16108452950558214, 0.1594896331738437, 0.1594896331738437, 0.1594896331738437, 0.1594896331738437, 0.1594896331738437, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15629984051036683, 0.15629984051036683, 0.15629984051036683, 0.15629984051036683, 0.15629984051036683, 0.15629984051036683, 0.15629984051036683, 0.15629984051036683, 0.1547049441786284, 0.1547049441786284, 0.1547049441786284, 0.1547049441786284, 0.1547049441786284, 0.1547049441786284, 0.1547049441786284, 0.1547049441786284, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15311004784688995, 0.15151515151515152, 0.15151515151515152, 0.14992025518341306, 0.14992025518341306, 0.14992025518341306, 0.14992025518341306, 0.14992025518341306, 0.14992025518341306, 0.14992025518341306, 0.14992025518341306, 0.14832535885167464, 0.1467304625199362, 0.1467304625199362, 0.1467304625199362, 0.1467304625199362, 0.1467304625199362, 0.14513556618819776, 0.14513556618819776, 0.14513556618819776, 0.14513556618819776, 0.14513556618819776, 0.14513556618819776, 0.14513556618819776, 0.14513556618819776, 0.14513556618819776, 0.14354066985645933, 0.14354066985645933, 0.1419457735247209, 0.1419457735247209, 0.1419457735247209, 0.1419457735247209, 0.1419457735247209, 0.1419457735247209, 0.1419457735247209, 0.1419457735247209, 0.1419457735247209, 0.1419457735247209, 0.13875598086124402, 0.13875598086124402, 0.1371610845295056, 0.13556618819776714, 0.13556618819776714, 0.13556618819776714, 0.1339712918660287, 0.13237639553429026, 0.13237639553429026, 0.12599681020733652, 0.11642743221690591, 0.10685805422647528, 0.09728867623604466, 0.08771929824561403, 0.07814992025518341, 0.0685805422647528, 0.05901116427432217, 0.049441786283891544, 0.03987240829346093, 0.030303030303030304, 0.02073365231259968, 0.011164274322169059, 0.001594896331738437]"
1,word_adjacencies,"[0.2635294117647059, 0.2635294117647059, 0.2635294117647059, 0.2635294117647059, 0.2635294117647059, 0.2635294117647059, 0.2635294117647059, 0.2611764705882353, 0.25882352941176473, 0.25882352941176473, 0.25882352941176473, 0.2564705882352941, 0.2564705882352941, 0.2564705882352941, 0.2564705882352941, 0.2564705882352941, 0.2541176470588235, 0.2541176470588235, 0.2541176470588235, 0.25176470588235295, 0.25176470588235295, 0.25176470588235295, 0.25176470588235295, 0.25176470588235295, 0.24941176470588236, 0.2447058823529412, 0.2447058823529412, 0.2447058823529412, 0.2447058823529412, 0.2447058823529412, 0.2447058823529412, 0.2447058823529412, 0.2447058823529412, 0.2447058823529412, 0.2447058823529412, 0.2447058823529412, 0.24235294117647058, 0.24235294117647058, 0.24235294117647058, 0.24235294117647058, 0.24, 0.24, 0.2376470588235294, 0.2376470588235294, 0.2376470588235294, 0.23529411764705882, 0.23294117647058823, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.22588235294117648, 0.22588235294117648, 0.2235294117647059, 0.2235294117647059, 0.2235294117647059, 0.2211764705882353, 0.2188235294117647, 0.21176470588235294, 0.20941176470588235, 0.20470588235294118, 0.2023529411764706, 0.2023529411764706, 0.2, 0.1952941176470588, 0.1952941176470588, 0.19058823529411764, 0.1811764705882353, 0.17882352941176471, 0.17176470588235293, 0.17176470588235293, 0.16705882352941176, 0.16705882352941176, 0.15764705882352942, 0.15294117647058825, 0.15058823529411763, 0.14352941176470588, 0.13647058823529412, 0.13176470588235295, 0.12470588235294118, 0.0988235294117647, 0.09647058823529411, 0.08470588235294117, 0.08235294117647059, 0.04470588235294118, 0.03529411764705882, 0.03529411764705882, 0.018823529411764704, 0.018823529411764704, 0.01647058823529412, 0.011764705882352941, 0.011764705882352941, 0.009411764705882352, 0.007058823529411765, 0.004705882352941176, 0.002352941176470588]","[0.2635294117647059, 0.2564705882352941, 0.2447058823529412, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23294117647058823, 0.23294117647058823, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.23058823529411765, 0.22588235294117648, 0.2235294117647059, 0.2235294117647059, 0.2211764705882353, 0.2188235294117647, 0.2188235294117647, 0.2188235294117647, 0.2188235294117647, 0.2188235294117647, 0.2188235294117647, 0.2188235294117647, 0.2188235294117647, 0.2188235294117647, 0.2164705882352941, 0.2164705882352941, 0.2164705882352941, 0.2164705882352941, 0.2164705882352941, 0.21176470588235294, 0.21176470588235294, 0.20705882352941177, 0.20470588235294118, 0.2023529411764706, 0.2, 0.1976470588235294, 0.1976470588235294, 0.1976470588235294, 0.19058823529411764, 0.19058823529411764, 0.19058823529411764, 0.19058823529411764, 0.19058823529411764, 0.18823529411764706, 0.18823529411764706, 0.18823529411764706, 0.18588235294117647, 0.17176470588235293, 0.16941176470588235, 0.16705882352941176, 0.16705882352941176, 0.1623529411764706, 0.15058823529411763, 0.14823529411764705, 0.14823529411764705, 0.14588235294117646, 0.14352941176470588, 0.14352941176470588, 0.14352941176470588, 0.14352941176470588, 0.1411764705882353, 0.13647058823529412, 0.12705882352941175, 0.1223529411764706, 0.12, 0.11764705882352941, 0.11529411764705882, 0.11294117647058824, 0.10352941176470588, 0.0988235294117647, 0.08235294117647059, 0.07764705882352942, 0.07294117647058823, 0.06588235294117648, 0.06352941176470588, 0.03294117647058824, 0.03058823529411765, 0.02823529411764706, 0.02588235294117647, 0.01647058823529412, 0.01411764705882353, 0.011764705882352941, 0.009411764705882352, 0.002352941176470588]","[0.2635294117647059, 0.25176470588235295, 0.24, 0.2376470588235294, 0.2376470588235294, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23294117647058823, 0.23294117647058823, 0.22823529411764706, 0.22588235294117648, 0.2235294117647059, 0.2235294117647059, 0.2211764705882353, 0.2211764705882353, 0.2211764705882353, 0.2164705882352941, 0.21411764705882352, 0.21411764705882352, 0.21176470588235294, 0.20941176470588235, 0.20941176470588235, 0.20705882352941177, 0.20705882352941177, 0.20705882352941177, 0.2023529411764706, 0.2023529411764706, 0.2023529411764706, 0.2023529411764706, 0.2023529411764706, 0.2023529411764706, 0.2023529411764706, 0.2, 0.2, 0.1976470588235294, 0.1952941176470588, 0.1952941176470588, 0.19294117647058823, 0.19294117647058823, 0.19058823529411764, 0.18823529411764706, 0.18588235294117647, 0.18352941176470589, 0.17882352941176471, 0.17882352941176471, 0.17882352941176471, 0.17647058823529413, 0.17647058823529413, 0.17411764705882352, 0.17411764705882352, 0.17176470588235293, 0.17176470588235293, 0.17176470588235293, 0.16941176470588235, 0.16941176470588235, 0.16705882352941176, 0.16470588235294117, 0.1623529411764706, 0.16, 0.15764705882352942, 0.15529411764705883, 0.15294117647058825, 0.14823529411764705, 0.14588235294117646, 0.14352941176470588, 0.1388235294117647, 0.1388235294117647, 0.13176470588235295, 0.12941176470588237, 0.12705882352941175, 0.12705882352941175, 0.12705882352941175, 0.1223529411764706, 0.11764705882352941, 0.11529411764705882, 0.11058823529411765, 0.10588235294117647, 0.10352941176470588, 0.10352941176470588, 0.1011764705882353, 0.0988235294117647, 0.0988235294117647, 0.09176470588235294, 0.08941176470588236, 0.08235294117647059, 0.07764705882352942, 0.07294117647058823, 0.07058823529411765, 0.06823529411764706, 0.0611764705882353, 0.05176470588235294, 0.04941176470588235, 0.03529411764705882, 0.01411764705882353, 0.011764705882352941, 0.009411764705882352, 0.002352941176470588]"
2,circuits_s208,"[0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6349206349206349, 0.6190476190476191, 0.6190476190476191, 0.6190476190476191, 0.6084656084656085, 0.6084656084656085, 0.6031746031746031, 0.6031746031746031, 0.6031746031746031, 0.6031746031746031, 0.582010582010582, 0.582010582010582, 0.5767195767195767, 0.5555555555555556, 0.544973544973545, 0.5396825396825397, 0.5396825396825397, 0.5343915343915344, 0.48677248677248675, 0.47619047619047616, 0.4708994708994709, 0.4708994708994709, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.4126984126984127, 0.4126984126984127, 0.4126984126984127, 0.4126984126984127, 0.37037037037037035, 0.36507936507936506, 0.24338624338624337, 0.2328042328042328, 0.2222222222222222, 0.2222222222222222, 0.21693121693121692, 0.21693121693121692, 0.21164021164021163, 0.21164021164021163, 0.21164021164021163, 0.21164021164021163, 0.20105820105820105, 0.20105820105820105, 0.20105820105820105, 0.19576719576719576, 0.17989417989417988, 0.17989417989417988, 0.164021164021164, 0.164021164021164, 0.14814814814814814, 0.14285714285714285, 0.10052910052910052, 0.08465608465608465, 0.08465608465608465, 0.08465608465608465, 0.06878306878306878, 0.06878306878306878, 0.06878306878306878, 0.06878306878306878, 0.06349206349206349, 0.05291005291005291, 0.05291005291005291, 0.042328042328042326, 0.042328042328042326, 0.042328042328042326, 0.042328042328042326, 0.042328042328042326, 0.037037037037037035, 0.037037037037037035, 0.031746031746031744, 0.031746031746031744, 0.026455026455026454, 0.026455026455026454, 0.021164021164021163, 0.021164021164021163, 0.021164021164021163, 0.021164021164021163, 0.015873015873015872, 0.015873015873015872, 0.010582010582010581, 0.010582010582010581, 0.010582010582010581, 0.010582010582010581, 0.010582010582010581, 0.010582010582010581, 0.010582010582010581, 0.010582010582010581, 0.010582010582010581, 0.005291005291005291]","[0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6455026455026455, 0.6349206349206349, 0.6349206349206349, 0.6349206349206349, 0.6349206349206349, 0.6349206349206349, 0.6296296296296297, 0.6243386243386243, 0.6190476190476191, 0.6190476190476191, 0.6190476190476191, 0.6137566137566137, 0.5925925925925926, 0.5873015873015873, 0.582010582010582, 0.5767195767195767, 0.5767195767195767, 0.5502645502645502, 0.48677248677248675, 0.48677248677248675, 0.47619047619047616, 0.47619047619047616, 0.47619047619047616, 0.4708994708994709, 0.4708994708994709, 0.4708994708994709, 0.42328042328042326, 0.42328042328042326, 0.42328042328042326, 0.42328042328042326, 0.4126984126984127, 0.24867724867724866, 0.24867724867724866, 0.21164021164021163, 0.21164021164021163, 0.19047619047619047, 0.19047619047619047, 0.19047619047619047, 0.15343915343915343, 0.15343915343915343, 0.15343915343915343, 0.15343915343915343, 0.14285714285714285, 0.12169312169312169, 0.1164021164021164, 0.1164021164021164, 0.1164021164021164, 0.1164021164021164, 0.1164021164021164, 0.1164021164021164, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.10052910052910052, 0.09523809523809523, 0.09523809523809523, 0.07407407407407407, 0.07407407407407407, 0.07407407407407407, 0.0582010582010582, 0.05291005291005291, 0.042328042328042326, 0.031746031746031744, 0.031746031746031744, 0.031746031746031744, 0.031746031746031744, 0.031746031746031744, 0.031746031746031744, 0.026455026455026454, 0.026455026455026454, 0.026455026455026454, 0.026455026455026454, 0.026455026455026454, 0.026455026455026454, 0.021164021164021163, 0.021164021164021163, 0.021164021164021163, 0.021164021164021163, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.010582010582010581, 0.010582010582010581, 0.010582010582010581, 0.010582010582010581, 0.010582010582010581, 0.010582010582010581, 0.005291005291005291]","[0.6455026455026455, 0.6243386243386243, 0.6031746031746031, 0.6031746031746031, 0.6031746031746031, 0.5925925925925926, 0.582010582010582, 0.5767195767195767, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5661375661375662, 0.5608465608465608, 0.5608465608465608, 0.5608465608465608, 0.5555555555555556, 0.5555555555555556, 0.5502645502645502, 0.5502645502645502, 0.544973544973545, 0.544973544973545, 0.5396825396825397, 0.5396825396825397, 0.5396825396825397, 0.5343915343915344, 0.5291005291005291, 0.5291005291005291, 0.5238095238095238, 0.5185185185185185, 0.5185185185185185, 0.5132275132275133, 0.5132275132275133, 0.5079365079365079, 0.5079365079365079, 0.5079365079365079, 0.5026455026455027, 0.4973544973544973, 0.4973544973544973, 0.49206349206349204, 0.48148148148148145, 0.4708994708994709, 0.4656084656084656, 0.455026455026455, 0.43915343915343913, 0.43915343915343913, 0.42328042328042326, 0.42328042328042326, 0.41798941798941797, 0.25925925925925924, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.25396825396825395, 0.24867724867724866, 0.24338624338624337, 0.23809523809523808, 0.2275132275132275, 0.2222222222222222, 0.21164021164021163, 0.20634920634920634, 0.20105820105820105, 0.19047619047619047, 0.18518518518518517, 0.1746031746031746, 0.1693121693121693, 0.15873015873015872, 0.14814814814814814, 0.14285714285714285, 0.14285714285714285, 0.13227513227513227, 0.13227513227513227, 0.12169312169312169, 0.1111111111111111, 0.09523809523809523, 0.08994708994708994, 0.07936507936507936, 0.06349206349206349, 0.0582010582010582, 0.05291005291005291, 0.05291005291005291, 0.05291005291005291, 0.05291005291005291, 0.047619047619047616, 0.042328042328042326, 0.037037037037037035, 0.031746031746031744, 0.021164021164021163, 0.021164021164021163, 0.010582010582010581, 0.010582010582010581, 0.005291005291005291]"
3,bn_cat_mixed_species_brain_1,"[0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.1141352063213345, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11325724319578578, 0.11237928007023705, 0.11237928007023705, 0.11237928007023705, 0.11237928007023705, 0.11237928007023705, 0.11237928007023705, 0.11237928007023705, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.10974539069359086, 0.10974539069359086, 0.10974539069359086, 0.10974539069359086, 0.10886742756804214, 0.10886742756804214, 0.10886742756804214, 0.10886742756804214, 0.10886742756804214, 0.10886742756804214, 0.10798946444249341, 0.10535557506584724, 0.1044776119402985, 0.10184372256365233, 0.1009657594381036, 0.10008779631255488, 0.09745390693590869, 0.09482001755926252, 0.09482001755926252, 0.09394205443371378, 0.08955223880597014, 0.08604038630377524, 0.08428446005267778, 0.07374890254609306, 0.056189640035118525, 0.048287971905179985, 0.035996488147497806, 0.015803336259877086, 0.00877963125548727, 0.0052677787532923615, 0.003511852502194908, 0.0026338893766461808, 0.000877963125548727]","[0.1141352063213345, 0.11325724319578578, 0.11325724319578578, 0.11237928007023705, 0.11237928007023705, 0.11150131694468832, 0.11150131694468832, 0.11150131694468832, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.1106233538191396, 0.10974539069359086, 0.10974539069359086, 0.10974539069359086, 0.10974539069359086, 0.10974539069359086, 0.10974539069359086, 0.10974539069359086, 0.10886742756804214, 0.10886742756804214, 0.10886742756804214, 0.10886742756804214, 0.10886742756804214, 0.10886742756804214, 0.10886742756804214, 0.10886742756804214, 0.10798946444249341, 0.10798946444249341, 0.10798946444249341, 0.10798946444249341, 0.10711150131694469, 0.10623353819139596, 0.10623353819139596, 0.10623353819139596, 0.10623353819139596, 0.1044776119402985, 0.1044776119402985, 0.1044776119402985, 0.1044776119402985, 0.1044776119402985, 0.10272168568920105, 0.10184372256365233, 0.10184372256365233, 0.10184372256365233, 0.10184372256365233, 0.10008779631255488, 0.10008779631255488, 0.10008779631255488, 0.10008779631255488, 0.09920983318700614, 0.09920983318700614, 0.09833187006145742, 0.09745390693590869, 0.09482001755926252, 0.09394205443371378, 0.09394205443371378, 0.09306409130816505, 0.09306409130816505, 0.0913081650570676, 0.08955223880597014, 0.08955223880597014, 0.08779631255487269, 0.08691834942932397, 0.08691834942932397, 0.08691834942932397, 0.08516242317822652, 0.08516242317822652, 0.06760316066725197, 0.05970149253731343, 0.058823529411764705, 0.05706760316066725, 0.0553116769095698, 0.053555750658472345, 0.05267778753292362, 0.05179982440737489, 0.050921861281826165, 0.05004389815627744, 0.04741000877963126, 0.04741000877963126, 0.027216856892010536, 0.027216856892010536, 0.02633889376646181, 0.025460930640913083, 0.024582967515364356, 0.024582967515364356, 0.021071115013169446, 0.021071115013169446, 0.02019315188762072, 0.018437225636523266, 0.016681299385425813, 0.014925373134328358, 0.012291483757682178, 0.01141352063213345, 0.007901668129938543, 0.000877963125548727]","[0.1141352063213345, 0.11237928007023705, 0.11150131694468832, 0.11150131694468832, 0.1106233538191396, 0.10974539069359086, 0.10974539069359086, 0.10886742756804214, 0.10886742756804214, 0.10798946444249341, 0.10711150131694469, 0.10623353819139596, 0.10535557506584724, 0.10359964881474978, 0.10184372256365233, 0.10184372256365233, 0.1009657594381036, 0.10008779631255488, 0.09920983318700614, 0.09920983318700614, 0.09745390693590869, 0.09657594381035997, 0.09657594381035997, 0.09569798068481124, 0.09482001755926252, 0.09482001755926252, 0.09394205443371378, 0.09218612818261633, 0.0913081650570676, 0.0913081650570676, 0.09043020193151888, 0.09043020193151888, 0.09043020193151888, 0.08955223880597014, 0.08779631255487269, 0.08779631255487269, 0.08779631255487269, 0.08428446005267778, 0.08428446005267778, 0.08428446005267778, 0.08252853380158033, 0.08252853380158033, 0.08252853380158033, 0.07989464442493416, 0.07989464442493416, 0.07901668129938542, 0.0781387181738367, 0.07726075504828797, 0.07638279192273925, 0.07638279192273925, 0.07550482879719052, 0.07462686567164178, 0.07462686567164178, 0.07374890254609306, 0.07287093942054433, 0.07287093942054433, 0.07199297629499561, 0.07199297629499561, 0.07111501316944688, 0.07023705004389816, 0.07023705004389816, 0.06935908691834942, 0.0684811237928007, 0.06584723441615452, 0.06584723441615452, 0.06409130816505706, 0.06321334503950835, 0.06321334503950835, 0.06233538191395961, 0.06233538191395961, 0.061457418788410885, 0.06057945566286216, 0.06057945566286216, 0.05970149253731343, 0.058823529411764705, 0.058823529411764705, 0.05794556628621598, 0.056189640035118525, 0.0553116769095698, 0.05443371378402107, 0.053555750658472345, 0.05267778753292362, 0.05179982440737489, 0.050921861281826165, 0.05004389815627744, 0.04916593503072871, 0.048287971905179985, 0.04741000877963126, 0.04741000877963126, 0.046532045654082525, 0.04477611940298507, 0.04302019315188762, 0.03511852502194908, 0.0324846356453029, 0.03160667251975417, 0.02633889376646181, 0.024582967515364356, 0.021071115013169446, 0.016681299385425813, 0.007901668129938543, 0.000877963125548727]"
