,network,BC,NBC,MEB,MEC,MED
0,bn_macaque_rhesus_brain_2,0.8421237468719482,0.8596611022949219,0.7599351406097412,0.7609784603118896,0.8556780815124512
1,word_adjacencies,0.3959379196166992,0.32712221145629883,0.34210705757141113,0.49768924713134766,0.3490629196166992
2,circuits_s208,0.2643148899078369,0.4108731746673584,0.2822413444519043,0.20345520973205566,0.18054533004760742
3,bn_cat_mixed_species_brain_1,0.8517360687255859,0.7679383754730225,0.7340528964996338,1.0800766944885254,0.7170789241790771
4,facebook_414,0.8586940765380859,0.8626840114593506,0.8836321830749512,1.034250020980835,1.050152063369751
5,facebook_686,1.651566743850708,1.8709733486175537,1.6894910335540771,1.6007299423217773,1.9447574615478516
6,polbooks,1.3025014400482178,0.9075629711151123,0.878638505935669,0.8137893676757812,0.9554345607757568
7,jazz,3.7190134525299072,3.938427448272705,3.518552780151367,3.292160987854004,3.4985766410827637
8,facebook_348,4.310428142547607,5.072400808334351,5.709670305252075,6.063718557357788,5.915302276611328
9,circuits_s420,1.7143728733062744,1.6854989528656006,1.5269198417663574,1.2845523357391357,1.3314263820648193
10,corruption,3.6073391437530518,3.8167293071746826,3.222362756729126,4.809083461761475,4.2485926151275635
11,facebook_0,6.070704221725464,5.69169282913208,5.626916408538818,7.984562397003174,8.11022424697876
12,circuits_s838,14.01733946800232,12.345826864242554,12.164362907409668,11.768768787384033,13.190585374832153
13,crime_net,9.875459432601929,8.348556995391846,9.379815578460693,11.513087511062622,12.948235273361206
14,facebook_1684,267.05163311958313,252.37863612174988,244.471524477005,299.9174859523773,286.01427936553955
