# prop_name, value
name,terrorists_911
description,"Network of individuals and their known social associations, centered around the hijackers that carried out the September 11th, 2001 terrorist attacks. Associations extracted after-the-fact from public data. Metadata labels say which plane a person was on, if any, on 9/11.[^icon]
[^icon]: Description obtained from the [ICON](https://icon.colorado.edu) project."
citation,"['V. Krebs, \"Mapping networks of terrorist cells.\" Connections 24, 43-52 (2002)., https://doi.org/10.5210/fm.v7i4.941']"
url,https://aaronclauset.github.io/datacode.htm
tags,"['Social', 'Offline', 'Unweighted', 'Metadata']"
